Beat,Position,Pitch,Type
0.0,0,65,3
1.0,1,65,3
2.0,2,65,3
4.0,3,65,0
5.0,4,65,3
5.0,5,60,5
5.666666666666667,6,57,5
6.0,7,64,0
7.0,8,60,5
7.666666666666667,9,57,5
8.0,10,65,3
8.0,11,62,5
8.666666666666666,12,64,5
9.0,13,59,5
9.666666666666666,14,60,5
10.0,15,61,5
10.666666666666666,16,58,5
11.0,17,65,3
11.0,18,55,5
11.666666666666666,19,56,5
12.0,20,65,3
12.0,21,57,0
13.0,22,65,3
13.0,23,53,5
13.666666666666666,24,50,5
14.0,25,65,3
14.0,26,55,5
14.666666666666666,27,57,5
15.0,28,53,5
15.666666666666666,29,52,5
16.0,30,51,0
16.333333333333332,31,55,0
16.666666666666668,32,58,0
17.0,33,62,5
17.666666666666668,34,61,5
18.0,35,0,1
18.666666666666668,35,53,5
19.0,36,53,0
19.333333333333332,37,55,0
19.666666666666668,38,53,0
20.0,39,60,0
21.0,40,58,5
21.666666666666668,41,53,5
22.0,42,56,5
22.666666666666668,43,46,5
23.666666666666668,44,55,5
24.0,45,63,5
24.666666666666668,46,61,5
25.0,47,56,5
25.666666666666668,48,53,5
26.0,49,60,5
26.666666666666668,50,53,5
27.0,51,55,5
27.666666666666668,52,57,5
29.0,53,52,5
29.666666666666668,54,48,5
30.0,55,50,0
31.0,56,0,1
31.666666666666668,56,61,5
33.0,57,59,5
33.666666666666664,58,54,5
34.0,59,58,0
35.0,60,0,1
35.666666666666664,60,56,5
36.0,61,55,0
36.666666666666664,62,65,0
37.333333333333336,63,65,0
38.0,64,65,5
38.666666666666664,65,62,5
39.0,66,58,5
39.666666666666664,67,55,5
40.0,68,57,5
40.666666666666664,69,55,5
41.0,70,60,5
41.666666666666664,71,58,5
42.0,72,64,0
43.0,73,0,1
43.666666666666664,73,60,5
45.0,74,57,5
45.666666666666664,75,53,5
46.0,76,55,0
47.0,77,0,1
47.666666666666664,77,62,5
49.0,78,58,5
49.666666666666664,79,53,5
50.0,80,57,0
51.0,81,0,1
52.0,81,65,0
53.0,82,60,5
53.666666666666664,83,57,5
54.0,84,64,0
55.0,85,60,5
55.666666666666664,86,57,5
56.0,87,62,5
56.666666666666664,88,64,5
57.0,89,59,5
57.666666666666664,90,60,5
58.0,91,61,5
58.666666666666664,92,58,5
59.0,93,55,5
59.666666666666664,94,56,5
60.0,95,57,0
61.0,96,53,5
61.666666666666664,97,50,5
62.0,98,55,5
62.666666666666664,99,57,5
63.0,100,53,5
63.666666666666664,101,52,5
64.0,102,51,0
64.33333333333333,103,55,0
64.66666666666667,104,58,0
65.0,105,62,5
65.66666666666667,106,61,5
66.0,107,0,1
66.66666666666667,107,53,5
67.0,108,53,0
67.33333333333333,109,55,0
67.66666666666667,110,53,0
68.0,111,60,0
69.0,112,58,5
69.66666666666667,113,53,5
70.0,114,56,5
70.66666666666667,115,46,5
71.0,116,0,1
71.66666666666667,116,55,5
72.0,117,63,5
72.66666666666667,118,61,5
73.0,119,56,5
73.66666666666667,120,53,5
74.0,121,60,5
74.66666666666667,122,53,5
75.0,123,55,5
75.66666666666667,124,57,5
77.0,125,52,5
77.66666666666667,126,48,5
78.0,127,50,0
79.0,128,0,1
79.66666666666667,128,61,5
81.0,129,59,5
81.66666666666667,130,54,5
82.0,131,58,0
83.0,132,0,1
83.66666666666667,132,56,5
84.0,133,55,0
84.66666666666667,134,65,0
85.33333333333333,135,65,0
86.0,136,65,5
86.66666666666667,137,62,5
87.0,138,58,5
87.66666666666667,139,55,5
88.0,140,57,5
88.66666666666667,141,55,5
89.0,142,60,5
89.66666666666667,143,58,5
90.0,144,64,0
91.0,145,0,1
91.66666666666667,145,60,5
93.0,146,57,5
93.66666666666667,147,53,5
94.0,148,55,0
95.66666666666667,149,62,5
97.0,150,58,5
97.66666666666667,151,53,5
98.0,152,57,0
100.0,153,0,4
